date,members,usable,coverage
2015-01-31,499,381,0.7635270541082164
2015-02-28,499,381,0.7635270541082164
2015-03-31,500,385,0.77
2015-04-30,500,386,0.772
2015-05-31,500,386,0.772
2015-06-30,499,388,0.7775551102204409
2015-07-31,500,392,0.784
2015-08-31,500,392,0.784
2015-09-30,503,394,0.7833001988071571
2015-10-31,503,395,0.7852882703777336
2015-11-30,504,398,0.7896825396825397
2015-12-31,502,398,0.7928286852589641
2016-01-31,505,401,0.7940594059405941
2016-02-29,505,403,0.7980198019801981
2016-03-31,505,405,0.801980198019802
2016-04-30,506,406,0.8023715415019763
2016-05-31,505,410,0.8118811881188119
2016-06-30,505,412,0.8158415841584158
2016-07-31,505,415,0.8217821782178217
2016-08-31,505,415,0.8217821782178217
2016-09-30,506,417,0.8241106719367589
2016-10-31,506,418,0.8260869565217391
2016-11-30,506,418,0.8260869565217391
2016-12-31,506,419,0.8280632411067194
2017-01-31,506,420,0.8300395256916996
2017-02-28,506,421,0.8320158102766798
2017-03-31,506,425,0.8399209486166008
2017-04-30,506,427,0.8438735177865613
2017-05-31,506,427,0.8438735177865613
2017-06-30,506,428,0.8458498023715415
2017-07-31,506,429,0.8478260869565217
2017-08-31,506,430,0.849802371541502
2017-09-30,506,431,0.8517786561264822
2017-10-31,506,432,0.8537549407114624
2017-11-30,506,432,0.8537549407114624
2017-12-31,505,432,0.8554455445544554
2018-01-31,506,433,0.8557312252964426
2018-02-28,506,433,0.8557312252964426
2018-03-31,506,435,0.8596837944664032
2018-04-30,506,435,0.8596837944664032
2018-05-31,506,435,0.8596837944664032
2018-06-30,506,435,0.8596837944664032
2018-07-31,506,435,0.8596837944664032
2018-08-31,506,436,0.8616600790513834
2018-09-30,505,435,0.8613861386138614
2018-10-31,504,435,0.8630952380952381
2018-11-30,503,435,0.8648111332007953
2018-12-31,505,437,0.8653465346534653
2019-01-31,505,436,0.8633663366336634
2019-02-28,505,439,0.8693069306930693
2019-03-31,505,439,0.8693069306930693
2019-04-30,505,439,0.8693069306930693
2019-05-31,505,439,0.8693069306930693
2019-06-30,505,441,0.8732673267326733
2019-07-31,505,443,0.8772277227722772
2019-08-31,505,446,0.8831683168316832
2019-09-30,505,447,0.8851485148514852
2019-10-31,505,448,0.8871287128712871
2019-11-30,505,450,0.8910891089108911
2019-12-31,505,453,0.897029702970297
2020-01-31,505,454,0.899009900990099
2020-02-29,505,454,0.899009900990099
2020-03-31,505,455,0.900990099009901
2020-04-30,505,457,0.904950495049505
2020-05-31,505,458,0.906930693069307
2020-06-30,505,459,0.9089108910891089
2020-07-31,505,459,0.9089108910891089
2020-08-31,505,459,0.9089108910891089
2020-09-30,505,458,0.906930693069307
2020-10-31,505,460,0.9108910891089109
2020-11-30,505,461,0.9128712871287129
2020-12-31,505,461,0.9128712871287129
2021-01-31,505,463,0.9168316831683169
2021-02-28,505,463,0.9168316831683169
2021-03-31,505,463,0.9168316831683169
2021-04-30,505,464,0.9188118811881189
2021-05-31,505,465,0.9207920792079208
2021-06-30,505,465,0.9207920792079208
2021-07-31,505,466,0.9227722772277228
2021-08-31,505,468,0.9267326732673268
2021-09-30,505,467,0.9247524752475248
2021-10-31,505,467,0.9247524752475248
2021-11-30,505,467,0.9247524752475248
2021-12-31,505,468,0.9267326732673268
2022-01-31,505,468,0.9267326732673268
2022-02-28,505,470,0.9306930693069307
2022-03-31,505,471,0.9326732673267327
2022-04-30,504,471,0.9345238095238095
2022-05-31,504,472,0.9365079365079365
2022-06-30,503,472,0.9383697813121272
2022-07-31,503,472,0.9383697813121272
2022-08-31,503,472,0.9383697813121272
2022-09-30,503,472,0.9383697813121272
2022-10-31,503,475,0.9443339960238568
2022-11-30,503,476,0.9463220675944334
2022-12-31,503,477,0.94831013916501
2023-01-31,503,477,0.94831013916501
2023-02-28,503,477,0.94831013916501
2023-03-31,503,479,0.952286282306163
2023-04-30,503,479,0.952286282306163
2023-05-31,503,481,0.9562624254473161
2023-06-30,503,482,0.9582504970178927
2023-07-31,503,482,0.9582504970178927
2023-08-31,503,482,0.9582504970178927
2023-09-30,503,482,0.9582504970178927
2023-10-31,503,483,0.9602385685884692
2023-11-30,503,483,0.9602385685884692
2023-12-31,503,484,0.9622266401590457
2024-01-31,503,484,0.9622266401590457
2024-02-29,503,484,0.9622266401590457
2024-03-31,503,484,0.9622266401590457
2024-04-30,503,484,0.9622266401590457
2024-05-31,503,485,0.9642147117296223
2024-06-30,503,486,0.9662027833001988
2024-07-31,503,487,0.9681908548707754
2024-08-31,503,487,0.9681908548707754
2024-09-30,504,488,0.9682539682539683
2024-10-31,503,487,0.9681908548707754
2024-11-30,503,488,0.9701789264413518
2024-12-31,503,489,0.9721669980119284
2025-01-31,503,489,0.9721669980119284
2025-02-28,503,489,0.9721669980119284
2025-03-31,503,489,0.9721669980119284
2025-04-30,503,489,0.9721669980119284
2025-05-31,503,490,0.974155069582505
2025-06-30,503,490,0.974155069582505
2025-07-31,503,493,0.9801192842942346
2025-08-31,503,495,0.9840954274353877
2025-09-30,503,495,0.9840954274353877
2025-10-31,503,495,0.9840954274353877
2025-11-30,503,496,0.9860834990059643
2025-12-31,503,497,0.9880715705765407
2026-01-31,503,498,0.9900596421471173
2026-02-28,503,499,0.9920477137176938
2026-03-31,503,498,0.9900596421471173
2026-04-30,503,499,0.9920477137176938
2026-05-31,503,501,0.9960238568588469
2026-06-30,503,502,0.9980119284294234
