ticker,n_obs
A,600
AAL,600
AAP,600
AAPL,600
ABBV,600
ABC,600
ABNB,291
ABT,600
ACGL,600
ACN,600
ADBE,600
ADI,600
ADM,600
ADP,600
ADS,600
ADSK,600
ADT,442
AEE,600
AEP,600
AES,600
AET,205
AFL,600
AIG,600
AIV,600
AIZ,600
AJG,600
AKAM,600
ALB,600
ALGN,600
ALK,600
ALL,600
ALLE,600
AMAT,600
AMCR,600
AMD,600
AME,600
AMG,600
AMGN,600
AMP,600
AMT,600
AMTM,93
AMZN,600
AN,600
ANDV,196
ANET,600
ANTM,600
AON,600
AOS,600
APA,600
APC,21
APD,600
APH,600
APO,600
APP,273
APTV,600
ARE,600
ARES,600
ATI,600
ATO,600
AVB,600
AVGO,600
AVY,600
AWK,600
AXON,600
AXP,600
AYI,600
AZO,600
BA,600
BAC,600
BALL,600
BAX,600
BBBY,600
BBT,600
BBWI,600
BBY,600
BDX,600
BEN,600
BF-B,600
BG,600
BHF,468
BIIB,600
BIO,600
BKNG,600
BKR,600
BLDR,600
BLK,600
BMY,600
BNY,600
BR,600
BRK-B,600
BRO,600
BSX,600
BWA,600
BX,600
BXP,600
C,600
CAG,600
CAH,600
CAM,39
CARR,329
CASY,600
CAT,600
CB,600
CBOE,600
CBRE,600
CCEP,600
CCI,600
CCL,600
CDNS,600
CDW,600
CE,600
CEG,233
CF,600
CFG,600
CHD,600
CHRW,600
CHTR,600
CI,600
CIEN,600
CINF,600
CL,600
CLX,600
CMCSA,600
CME,600
CMG,600
CMI,600
CMS,600
CNC,600
CNP,600
CNX,600
COF,600
COHR,600
COIN,273
COL,309
COO,600
COP,600
COR,600
COST,600
COTY,600
CPAY,600
CPB,600
CPRI,600
CPRT,600
CPT,600
CRH,600
CRL,600
CRM,600
CRWD,369
CSCO,600
CSGP,600
CSRA,125
CSX,600
CTAS,600
CTL,600
CTSH,600
CTVA,372
CVNA,480
CVS,600
CVX,600
CZR,600
D,600
DAL,600
DASH,291
DD,600
DDOG,355
DE,600
DECK,600
DELL,516
DG,600
DGX,600
DHI,600
DHR,600
DIS,600
DISCA,600
DISCK,600
DLR,600
DLTR,600
DOC,600
DOV,600
DOW,381
DPZ,600
DRI,600
DTE,600
DUK,600
DVA,600
DVN,600
DXC,600
DXCM,600
EA,600
EBAY,600
ECHO,600
ECL,600
ED,600
EFX,600
EG,600
EIX,600
EL,600
ELV,600
EMC,164
EME,600
EMN,600
EMR,600
ENPH,600
EOG,600
EPAM,600
EQIX,600
EQR,600
EQT,600
ERIE,600
ES,600
ESRX,208
ESS,600
ETN,600
ETR,600
ETSY,586
EVHC,197
EVRG,600
EW,600
EXC,600
EXE,282
EXPD,600
EXPE,600
EXR,600
F,600
FANG,600
FAST,600
FB,600
FBHS,600
FCPT,556
FCX,600
FDS,600
FDX,600
FDXF,6
FE,600
FFIV,600
FICO,600
FIS,600
FITB,600
FIX,600
FLEX,600
FLR,600
FLS,600
FLT,600
FMC,600
FOSL,600
FOX,382
FOXA,382
FRT,600
FSLR,600
FTI,600
FTNT,600
FTV,522
GD,600
GDDY,588
GE,600
GEHC,186
GEN,600
GEV,119
GILD,600
GIS,600
GL,600
GLW,600
GM,600
GME,600
GNRC,600
GNW,600
GOOG,600
GOOGL,600
GPC,600
GPN,600
GRMN,600
GS,600
GT,600
GWW,600
HAL,600
HAS,600
HBAN,600
HCA,600
HD,600
HFC,600
HIG,600
HII,600
HLT,600
HOG,600
HON,600
HONA,3
HOOD,258
HOT,108
HP,600
HPE,559
HPQ,600
HRB,600
HRL,600
HSIC,600
HST,600
HSY,600
HUBB,600
HUM,600
HWM,505
IBKR,600
IBM,600
ICE,600
IDXX,600
IEX,600
IFF,600
ILMN,600
INCY,600
INFO,91
INTC,600
INTU,600
INVH,492
IP,600
IPGP,600
IQV,600
IR,478
IRM,600
ISRG,600
IT,600
ITW,600
IVZ,600
J,600
JBHT,600
JBL,600
JCI,600
JEF,600
JKHY,600
JNJ,600
JPM,600
KDP,600
KEY,600
KEYS,600
KHC,574
KIM,600
KKR,600
KLAC,600
KMB,600
KMI,600
KMX,600
KO,600
KORS,600
KR,600
KSS,600
KVUE,166
L,600
LB,106
LDOS,600
LEG,600
LEN,600
LH,600
LHX,600
LII,600
LIN,600
LITE,572
LKQ,600
LLY,600
LMT,600
LNC,600
LNT,600
LOW,600
LRCX,600
LULU,600
LUMN,600
LUV,600
LVS,600
LW,504
LYB,600
LYV,600
M,600
MA,600
MAA,600
MAC,600
MAR,600
MAS,600
MAT,600
MCD,600
MCHP,600
MCK,600
MCO,600
MDLZ,600
MDT,600
MET,600
META,600
MGM,600
MHK,600
MKC,600
MKTX,600
MLM,600
MMM,600
MNST,600
MO,600
MOH,600
MOS,600
MPC,600
MPWR,600
MRK,600
MRNA,396
MRSH,600
MRVL,600
MS,600
MSCI,600
MSFT,600
MSI,600
MTB,600
MTCH,600
MTD,600
MU,600
MUR,600
NAVI,600
NBR,600
NCLH,600
NDAQ,600
NDSN,600
NE,265
NEE,600
NEM,600
NFLX,600
NI,600
NKE,600
NKTR,600
NLOK,600
NOC,600
NOV,600
NOW,600
NRG,600
NSC,600
NTAP,600
NTRS,600
NUE,600
NVDA,600
NVR,600
NWL,600
NWS,600
NWSA,600
NXPI,600
O,600
ODFL,600
OGN,269
OI,600
OKE,600
OMC,600
ON,600
ORCL,600
ORLY,600
OTIS,329
OXY,600
PANW,600
PAYC,600
PAYX,600
PBI,600
PCAR,600
PCG,600
PCL,48
PEAK,600
PEG,600
PENN,600
PEP,600
PFE,600
PFG,600
PG,600
PGR,600
PH,600
PHM,600
PKG,600
PLD,600
PLTR,301
PM,600
PNC,600
PNR,600
PNW,600
PODD,600
POM,39
POOL,600
PPG,600
PPL,600
PRGO,600
PRU,600
PSA,600
PSKY,600
PSX,600
PTC,600
PVH,600
PWR,600
PYPL,574
Q,36
QCOM,600
QRVO,600
R,600
RCL,600
RE,600
REG,600
REGN,600
RF,600
RHI,600
RIG,600
RJF,600
RL,600
RMD,600
ROK,600
ROL,600
ROP,600
ROST,600
RRC,600
RSG,600
RTX,600
RVTY,600
SBAC,600
SBNY,99
SBUX,600
SCG,182
SCHW,600
SE,455
SEDG,589
SHW,600
SIG,600
SJM,600
SLB,600
SLG,600
SMCI,600
SNA,600
SNDK,73
SNPS,600
SO,600
SOLS,37
SOLV,119
SPG,600
SPGI,600
SPLS,25
SRE,600
STE,600
STI,218
STLD,600
STT,600
STX,600
STZ,600
SW,600
SWK,600
SWKS,600
SYF,600
SYK,600
SYMC,600
SYY,600
T,600
TAP,600
TDC,600
TDG,600
TDY,600
TE,339
TECH,600
TEL,600
TER,600
TFC,600
TFX,600
TGT,600
THC,600
TJX,600
TKO,600
TMO,600
TMUS,600
TPL,600
TPR,600
TRGP,600
TRIP,600
TRMB,600
TROW,600
TRV,600
TSCO,600
TSLA,600
TSN,600
TT,600
TTD,511
TTWO,600
TWX,181
TXN,600
TXT,600
TYL,600
UA,537
UAA,600
UAL,600
UBER,374
UDR,600
UHS,600
ULTA,600
UNH,600
UNM,600
UNP,600
UPS,600
URBN,600
URI,600
USB,600
UTX,600
V,600
VEEV,600
VFC,600
VICI,444
VLO,600
VLTO,144
VMC,600
VNO,600
VNT,302
VRSK,600
VRSN,600
VRT,414
VRTX,600
VST,509
VTR,600
VTRS,600
VZ,600
WAB,600
WAT,600
WBD,600
WDAY,600
WDC,600
WEC,600
WELL,600
WFC,600
WHR,600
WLTW,600
WM,600
WMB,600
WMT,600
WRB,600
WSM,600
WST,600
WTW,600
WU,600
WY,600
WYNN,600
XEL,600
XOM,600
XRAY,600
XRX,600
XYL,600
XYZ,555
YUM,600
ZBH,600
ZBRA,600
ZION,600
ZTS,600
