,shares_outstanding
A,282431944.0
AAL,661385137.0
AAP,60329208.0
AAPL,14687356000.0
ABBV,1766792821.0
ABNB,417930233.0
ABT,1741813154.0
ACGL,349389588.0
ACN,611942109.0
ADBE,397500000.0
ADI,487087040.0
ADM,481956527.0
ADP,399734282.0
ADSK,211145251.0
AEE,276751616.0
AEP,544105032.0
AES,713157713.0
AFL,508984904.0
AIG,530206221.0
AIV,143856183.0
AIZ,49547637.0
AJG,256942000.0
AKAM,145385451.0
ALB,117934651.0
ALGN,71618127.0
ALK,111428978.0
ALL,257420930.0
ALLE,85935861.0
AMAT,793959430.0
AMCR,462345690.0
AMD,1630600639.0
AME,229203002.0
AMG,26412085.0
AMGN,539708274.0
AMP,89897084.0
AMT,465893069.0
AMTM,244316319.0
AMZN,10757109436.0
AN,33461495.0
ANET,1259169438.0
ELV,217162380.0
AON,213576949.0
AOS,111965465.0
APA,353470227.0
APD,222680686.0
APH,1230234445.0
APO,576517513.0
APP,305732000.0
APTV,211620527.0
ARE,174269480.0
ARES,222028421.0
ATI,136470427.0
ATO,166919822.0
AVB,374920696.0
AVGO,4757580198.0
AVY,76490385.0
AWK,195280521.0
AXON,80602077.0
AXP,682326443.0
AYI,29935547.0
AZO,16325355.0
BA,788302331.0
BAC,7096590651.0
BALL,266246511.0
BAX,516469008.0
BBBY,95264276.0
BBT,83816086.0
BBWI,201561812.0
BBY,210767126.0
BDX,275540427.0
BEN,519637162.0
BF-B,290383416.0
BG,194018115.0
BHF,57445785.0
BIIB,147637117.0
BIO,21700560.0
BKNG,774878436.0
BKR,992068697.0
BLDR,107559876.0
BLK,154995389.0
BMY,2042071247.0
BNY,686379045.0
BR,115658297.0
BRK-B,1398308677.0
BRO,338947841.0
BSX,1486355179.0
BWA,205114941.0
BX,742180737.0
BXP,159477391.0
C,1677400000.0
CAG,478553066.0
CAH,234205855.0
CARR,830580423.0
CASY,37004914.0
CAT,460591983.0
CB,387860106.0
CBOE,104653784.0
CBRE,292816579.0
CCEP,442777049.0
CCI,436451983.0
CCL,1369649119.0
CDNS,275816000.0
CDW,127753451.0
CE,109662539.0
CEG,357102017.0
CF,153629274.0
CFG,422881942.0
CHD,236943602.0
CHRW,117873042.0
CHTR,141178369.0
CI,264532404.0
CIEN,141552922.0
CINF,154686742.0
CL,800189310.0
CLX,120921351.0
CMCSA,3562784182.0
CME,361319613.0
CMG,1282734000.0
CMI,137989067.0
CMS,308919602.0
CNC,493797000.0
CNP,654169480.0
CNX,141477594.0
COF,616019481.0
COHR,195639321.0
COIN,222426875.0
COO,195030630.0
COP,1218294007.0
ABC,194561060.0
COST,443478804.0
COTY,880466438.0
FLT,65361919.0
CPB,298206243.0
KORS,114796106.0
CPRT,925811482.0
CPT,99090596.0
CRH,668200216.0
CRL,48167730.0
CRM,819000000.0
CRWD,1018259280.0
CSCO,3941434665.0
CSGP,408355715.0
CSX,1858138856.0
CTAS,400136881.0
LUMN,1030311070.0
CTSH,473000000.0
CTVA,668820000.0
CVNA,716288385.0
CVS,1275927307.0
CVX,1991597732.0
CZR,203693576.0
D,879512484.0
DAL,657623030.0
DASH,411336610.0
DD,135019401.0
DDOG,330825798.0
DE,269937425.0
DECK,138880957.0
DELL,325046693.0
DG,220586647.0
DGX,110696429.0
DHI,283579613.0
DHR,707770627.0
DIS,1736511424.0
WBD,2507136702.0
DLR,369976002.0
DLTR,192174588.0
PEAK,689419702.0
DOV,134661414.0
DOW,720741438.0
DPZ,33261870.0
DRI,114535003.0
DTE,208028313.0
DUK,779596217.0
DVA,64185000.0
DVN,1153403107.0
DXC,162080263.0
DXCM,385872977.0
EA,250751484.0
EBAY,444000000.0
ECHO,158465020.0
ECL,281437502.0
ED,368529705.0
EFX,119072409.0
RE,39571602.0
EIX,384793941.0
EL,247287571.0
EME,44440278.0
EMN,114349960.0
EMR,560100000.0
ENPH,131798220.0
EOG,532628530.0
EPAM,52244451.0
EQIX,98624248.0
EQR,374712144.0
EQT,625478000.0
ERIE,46189068.0
ES,376080025.0
ESS,64261739.0
ETN,388300000.0
ETR,466595090.0
ETSY,94896231.0
EVRG,230513025.0
EW,575800000.0
EXC,1023208142.0
EXE,239228849.0
EXPD,130791133.0
EXPE,114498625.0
EXR,211260936.0
F,3913840554.0
FANG,281313297.0
FAST,1147494415.0
META,2196045588.0
FBHS,119293417.0
FCPT,109749197.0
FCX,1437559865.0
FDS,35565543.0
FDX,238606756.0
FDXF,148906159.0
FE,578431175.0
FFIV,56419247.0
FICO,23190906.0
FIS,516879151.0
FITB,906311548.0
FIX,35183967.0
FLEX,366389554.0
FLR,139669896.0
FLS,127807021.0
FMC,125226662.0
FOSL,59101598.0
FOX,220426203.0
FOXA,199474449.0
FRT,86389197.0
FSLR,107453363.0
FTI,398701897.0
FTNT,732648391.0
FTV,304861021.0
GD,270430187.0
GDDY,132409847.0
GE,1043337235.0
GEHC,454891786.0
SYMC,602433854.0
GEV,268719995.0
GILD,1241569874.0
GIS,533708396.0
GL,77644761.0
GLW,860637825.0
GM,901665195.0
GME,448691257.0
GNRC,58868681.0
GNW,383009256.0
GOOG,5499638298.0
GOOGL,5867155790.0
GPC,137624545.0
GPN,273543507.0
GRMN,192856206.0
GS,295007421.0
GT,287438631.0
GWW,47213119.0
HAL,835397735.0
HAS,141490692.0
HBAN,2027130587.0
HCA,221839800.0
HD,997116682.0
HFC,180275437.0
HIG,274130820.0
HII,39404029.0
HLT,227648372.0
HOG,105268302.0
HON,316826559.0
HONA,316939750.0
HOOD,791184698.0
HP,99930952.0
HPE,1324203521.0
HPQ,914522690.0
HRB,126760207.0
HRL,550314959.0
HSIC,113916757.0
HST,684879281.0
HSY,148229858.0
HUBB,52841777.0
HUM,120061500.0
HWM,400107483.0
IBKR,445484364.0
IBM,939885280.0
ICE,565512495.0
IDXX,78882997.0
IEX,74015052.0
IFF,255303473.0
ILMN,151300000.0
INCY,199782155.0
INTC,5026000000.0
INTU,273537000.0
INVH,594041956.0
IP,529516974.0
IPGP,42443616.0
IQV,166900000.0
IR,391336834.0
IRM,297524681.0
ISRG,354162842.0
IT,66951889.0
ITW,287700000.0
